CHR	MISSING	TYPE	PLATFORM
X	682	Patches	HiFi
1	643	Patches	HiFi
2	1716	Patches	HiFi
4	66	Patches	HiFi
5	101	Patches	HiFi
8	1042	Patches	HiFi
9	63	Patches	HiFi
10	166	Patches	HiFi
12	246	Patches	HiFi
19	896	Patches	HiFi
X	111	HiFi_Consensus	HiFi
1	82	HiFi_Consensus	HiFi
2	122	HiFi_Consensus	HiFi
3	106	HiFi_Consensus	HiFi
4	118	HiFi_Consensus	HiFi
5	35	HiFi_Consensus	HiFi
6	49	HiFi_Consensus	HiFi
7	94	HiFi_Consensus	HiFi
8	73	HiFi_Consensus	HiFi
9	37	HiFi_Consensus	HiFi
10	33	HiFi_Consensus	HiFi
11	74	HiFi_Consensus	HiFi
12	49	HiFi_Consensus	HiFi
13	18	HiFi_Consensus	HiFi
14	52	HiFi_Consensus	HiFi
15	48	HiFi_Consensus	HiFi
16	32	HiFi_Consensus	HiFi
17	31	HiFi_Consensus	HiFi
18	30	HiFi_Consensus	HiFi
19	27	HiFi_Consensus	HiFi
20	42	HiFi_Consensus	HiFi
22	11	HiFi_Consensus	HiFi
X	90	Patches	Illumina
1	59	Patches	Illumina
4	34	Patches	Illumina
5	68	Patches	Illumina
8	22	Patches	Illumina
10	158	Patches	Illumina
12	49	Patches	Illumina
19	177	Patches	Illumina
X	789	HiFi_Consensus	Illumina
1	552	HiFi_Consensus	Illumina
2	1079	HiFi_Consensus	Illumina
3	484	HiFi_Consensus	Illumina
4	953	HiFi_Consensus	Illumina
5	502	HiFi_Consensus	Illumina
6	391	HiFi_Consensus	Illumina
7	659	HiFi_Consensus	Illumina
8	524	HiFi_Consensus	Illumina
9	509	HiFi_Consensus	Illumina
10	1643	HiFi_Consensus	Illumina
11	645	HiFi_Consensus	Illumina
12	686	HiFi_Consensus	Illumina
13	537	HiFi_Consensus	Illumina
14	487	HiFi_Consensus	Illumina
15	425	HiFi_Consensus	Illumina
16	538	HiFi_Consensus	Illumina
17	707	HiFi_Consensus	Illumina
18	664	HiFi_Consensus	Illumina
19	597	HiFi_Consensus	Illumina
20	654	HiFi_Consensus	Illumina
21	249	HiFi_Consensus	Illumina
22	800	HiFi_Consensus	Illumina
X	22	Patches	Hybrid
1	63	Patches	Hybrid
4	41	Patches	Hybrid
5	82	Patches	Hybrid
8	23	Patches	Hybrid
10	118	Patches	Hybrid
12	73	Patches	Hybrid
19	240	Patches	Hybrid
X	401	HiFi_Consensus	Hybrid
1	158	HiFi_Consensus	Hybrid
2	667	HiFi_Consensus	Hybrid
3	245	HiFi_Consensus	Hybrid
4	532	HiFi_Consensus	Hybrid
5	214	HiFi_Consensus	Hybrid
6	98	HiFi_Consensus	Hybrid
7	336	HiFi_Consensus	Hybrid
8	142	HiFi_Consensus	Hybrid
9	158	HiFi_Consensus	Hybrid
10	382	HiFi_Consensus	Hybrid
11	189	HiFi_Consensus	Hybrid
12	296	HiFi_Consensus	Hybrid
13	62	HiFi_Consensus	Hybrid
14	113	HiFi_Consensus	Hybrid
15	209	HiFi_Consensus	Hybrid
16	120	HiFi_Consensus	Hybrid
17	150	HiFi_Consensus	Hybrid
18	171	HiFi_Consensus	Hybrid
19	365	HiFi_Consensus	Hybrid
20	170	HiFi_Consensus	Hybrid
21	19	HiFi_Consensus	Hybrid
22	228	HiFi_Consensus	Hybrid
