Chromosome	Errors	Assembly
1	221	v0.9
2	667	v0.9
3	245	v0.9
4	559	v0.9
5	296	v0.9
6	98	v0.9
7	336	v0.9
8	165	v0.9
9	158	v0.9
10	500	v0.9
11	189	v0.9
12	369	v0.9
13	62	v0.9
14	113	v0.9
15	209	v0.9
16	120	v0.9
17	150	v0.9
18	171	v0.9
19	605	v0.9
20	170	v0.9
21	19	v0.9
22	228	v0.9
X	423	v0.9
M	0	v0.9
1	163	v1.0
2	121	v1.0
3	120	v1.0
4	288	v1.0
5	194	v1.0
6	72	v1.0
7	245	v1.0
8	88	v1.0
9	65	v1.0
10	278	v1.0
11	145	v1.0
12	225	v1.0
13	35	v1.0
14	95	v1.0
15	176	v1.0
16	84	v1.0
17	103	v1.0
18	161	v1.0
19	335	v1.0
20	133	v1.0
21	19	v1.0
22	192	v1.0
X	159	v1.0
M	0	v1.0
