#ref_rl	read_1	read_2	read_3	read_4	read_5	read_6	read_7	read_8	read_9	read_10	read_11	read_12	read_13	read_14	read_15	read_16	read_17	read_18	read_19	read_20	read_21	read_22	read_23	read_24	read_25	read_26	read_27	read_28	read_29	read_30	read_31	read_32	read_33	read_34	read_35	read_36	read_37	read_38	read_39	read_40	read_41	read_42	read_43	read_44	read_45	read_46	read_47	read_48	read_49	read_50	read_51	read_52	read_53	read_54	read_55	read_56	read_57	read_58	read_59	read_60	read_61	read_62	read_63	read_64	read_65	read_66	read_67	read_68	read_69	read_70	read_71	read_72	read_73	read_74	read_75	read_76	read_77	read_78	read_79	read_80	read_81	read_82	read_83	read_84	read_85	read_86	read_87	read_88	read_89	read_90	read_91	read_92	read_93	read_94	read_95	read_96	read_97	read_98	read_99	read_100+
1	11022455983	6561227	140480	37433	13003	4894	2139	1151	733	481	374	283	216	154	178	117	69	74	51	46	45	36	34	29	23	24	9	10	7	11	2	4	7	2	4	5	4	6	1	1	2	0	1	2	1	2	1	2	2	0	1	1	1	2	2	1	2	0	2	0	1	0	0	0	3	1	1	0	0	1	0	2	1	0	0	1	0	0	1	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	13
2	7673907	2810301682	5544245	81877	21102	7740	3384	1831	1098	704	522	444	307	278	214	181	166	149	158	142	146	154	154	177	167	130	122	73	40	20	18	13	11	13	12	7	9	3	10	8	3	6	8	5	1	3	1	3	1	1	7	3	4	2	2	0	2	2	3	2	1	0	2	0	0	2	0	1	1	1	0	0	0	1	2	2	1	1	0	0	1	0	1	1	3	1	0	1	0	0	1	0	1	0	0	1	1	0	0	25
3	182498	7067340	708913588	4021845	53500	10247	3749	1900	1054	634	450	354	278	233	202	163	159	162	141	143	145	157	161	155	165	184	146	124	63	58	14	10	14	21	10	7	13	5	4	1	4	4	2	6	4	0	3	2	3	2	1	3	0	2	0	4	1	1	0	1	2	1	1	0	0	3	0	2	1	1	1	1	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	2	1	19
4	45465	50816	2813658	167731198	2127284	37695	5167	1760	847	510	309	208	180	129	109	79	74	58	63	74	68	60	82	91	83	72	83	78	59	32	22	7	10	7	4	3	4	4	1	1	1	5	3	2	2	2	1	2	2	0	1	0	0	1	1	1	0	2	1	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	11
5	11171	11133	13166	1076768	38316763	944034	24797	3268	940	441	225	155	93	56	47	46	24	26	20	25	18	32	16	25	15	22	19	32	29	13	12	2	4	2	3	1	1	2	1	2	0	3	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
6	2616	2524	2492	3590	282221	7287203	339238	13197	1930	509	198	118	75	33	24	4	10	10	10	4	6	4	7	8	9	5	3	7	5	9	3	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
7	363	438	399	488	709	48776	1067822	84526	4485	721	208	85	49	17	17	4	0	4	4	4	0	3	1	2	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	94	83	93	139	115	305	11490	203035	24609	1678	312	90	42	22	16	3	2	1	1	0	0	0	1	1	1	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	34	42	89	43	40	51	82	5073	71868	13178	1145	227	64	26	11	5	3	1	0	1	2	1	2	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	21	14	21	32	20	20	23	65	3076	39191	9870	1093	209	58	23	20	7	3	2	2	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	41	22	8	33	14	25	24	24	90	2253	20931	7331	1141	246	80	30	24	5	7	3	2	0	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	14	6	15	8	11	7	9	5	15	81	1767	10970	4587	854	208	78	33	9	7	2	4	1	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	6	9	6	5	8	8	4	16	11	22	101	1379	5585	2558	642	148	53	23	17	12	6	3	2	2	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	7	2	6	10	6	4	16	14	13	11	21	140	1348	3702	1577	423	134	50	26	16	5	8	2	4	3	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	6	0	4	0	5	2	6	10	5	6	2	19	181	957	1832	749	252	75	37	18	10	3	3	4	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	4	0	0	1	0	1	1	4	1	2	5	7	24	77	609	1148	498	185	94	45	28	15	6	3	3	1	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	2	0	0	0	6	2	1	1	6	5	5	3	4	2	81	353	643	302	160	70	41	28	11	8	4	3	4	0	1	3	3	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
