#ref_rl	read_1	read_2	read_3	read_4	read_5	read_6	read_7	read_8	read_9	read_10	read_11	read_12	read_13	read_14	read_15	read_16	read_17	read_18	read_19	read_20	read_21	read_22	read_23	read_24	read_25	read_26	read_27	read_28	read_29	read_30	read_31	read_32	read_33	read_34	read_35	read_36	read_37	read_38	read_39	read_40	read_41	read_42	read_43	read_44	read_45	read_46	read_47	read_48	read_49	read_50	read_51	read_52	read_53	read_54	read_55	read_56	read_57	read_58	read_59	read_60	read_61	read_62	read_63	read_64	read_65	read_66	read_67	read_68	read_69	read_70	read_71	read_72	read_73	read_74	read_75	read_76	read_77	read_78	read_79	read_80	read_81	read_82	read_83	read_84	read_85	read_86	read_87	read_88	read_89	read_90	read_91	read_92	read_93	read_94	read_95	read_96	read_97	read_98	read_99	read_100+
1	13443849137	5320065	251691	74449	34957	17597	7731	3205	1391	798	559	389	310	297	281	314	260	234	207	174	169	154	153	141	145	112	125	117	121	147	135	136	122	99	104	66	28	28	19	12	6	5	10	2	1	1	0	3	3	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
2	8049784	3663021688	3739974	79603	23714	10892	5258	2525	1263	732	418	246	190	151	109	88	64	48	57	33	42	17	18	20	19	19	18	11	10	10	10	3	4	0	2	3	2	6	4	3	0	1	0	1	1	1	2	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	525622	7684592	1389732041	3534433	43460	12002	5658	2780	1498	814	454	237	192	136	112	72	58	52	33	26	23	30	14	8	12	13	7	11	6	11	7	3	5	9	4	1	5	1	0	4	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	202734	201870	5738369	513615066	2848544	26458	6101	2929	1619	821	459	301	155	102	83	64	40	37	30	23	20	20	16	11	5	7	6	4	3	8	1	2	1	2	4	2	1	1	1	1	2	1	1	2	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5	79304	73900	81593	3807791	195037555	2362068	22192	3711	1692	924	621	383	215	136	91	69	47	50	27	22	25	23	11	12	12	1	10	3	5	4	6	9	7	2	2	0	0	1	3	1	0	3	1	1	0	0	1	2	1	1	2	0	0	0	0	0	1	2	0	0	0	1	0	1	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
6	25007	22487	22470	25708	1649538	57405805	1285416	14441	1878	808	516	288	193	119	83	53	42	20	26	10	16	10	12	8	3	4	4	0	5	2	0	3	1	3	3	4	1	0	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7	10490	9815	9639	9624	11829	900992	23389500	919599	15813	1750	578	337	192	130	79	58	29	18	17	19	9	15	6	4	6	5	4	3	1	0	0	2	1	0	2	0	2	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
8	4007	3729	3845	3437	3477	4800	424199	8157180	443381	9303	807	235	114	68	39	29	18	16	16	5	13	15	5	3	3	2	1	3	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2288	2177	2179	1969	1979	1943	3272	298570	4529207	316685	7745	598	182	80	54	37	19	13	7	9	8	3	6	5	4	3	5	3	1	2	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1474	1474	1489	1334	1260	1257	1254	2527	239202	2835479	241394	6760	549	99	57	37	25	22	15	13	6	6	2	2	3	2	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	1011	890	852	807	771	733	747	793	2247	186332	1676187	165649	5399	399	66	35	18	19	12	5	6	7	10	3	4	3	1	2	2	1	0	0	0	0	0	1	0	1	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12	779	660	627	631	599	600	589	589	644	2246	170662	1244010	146001	5529	441	95	24	18	16	13	9	13	1	2	4	0	0	0	1	0	0	0	0	0	0	0	1	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	744	608	588	553	524	520	492	483	490	586	2643	169725	1052930	147955	6743	566	99	27	12	10	7	13	6	6	4	5	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	657	567	518	508	489	467	457	445	425	454	550	3074	164274	901467	150230	8189	726	114	46	30	17	8	5	6	1	2	3	1	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
