#ref_rl	read_1	read_2	read_3	read_4	read_5	read_6	read_7	read_8	read_9	read_10	read_11	read_12	read_13	read_14	read_15	read_16	read_17	read_18	read_19	read_20	read_21	read_22	read_23	read_24	read_25	read_26	read_27	read_28	read_29	read_30	read_31	read_32	read_33	read_34	read_35	read_36	read_37	read_38	read_39	read_40	read_41	read_42	read_43	read_44	read_45	read_46	read_47	read_48	read_49	read_50	read_51	read_52	read_53	read_54	read_55	read_56	read_57	read_58	read_59	read_60	read_61	read_62	read_63	read_64	read_65	read_66	read_67	read_68	read_69	read_70	read_71	read_72	read_73	read_74	read_75	read_76	read_77	read_78	read_79	read_80	read_81	read_82	read_83	read_84	read_85	read_86	read_87	read_88	read_89	read_90	read_91	read_92	read_93	read_94	read_95	read_96	read_97	read_98	read_99	read_100+
1	36455231444	56344496	14747778	4785973	2435793	1138467	653503	294158	158900	85595	60638	50428	44033	39884	39825	38259	36334	35779	30895	26408	24386	21213	19043	16558	13993	11517	9279	7082	5324	3998	3212	2323	1740	1345	1027	810	662	550	422	365	271	197	198	155	115	117	77	64	51	30	46	34	33	23	18	17	11	10	5	7	8	6	12	3	3	5	1	2	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	135183253	9747161508	16021469	4227194	1640103	855440	440207	235408	117022	69702	41502	28721	24873	23157	20820	20832	20413	20885	19732	16956	16313	15497	13148	11370	11345	9342	7700	6743	4896	3511	2838	2103	1519	1106	886	624	559	470	325	298	266	202	169	99	87	109	71	41	60	52	35	19	28	26	29	15	10	7	9	12	9	4	9	1	6	2	0	1	4	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
3	45909418	50659556	3766072882	6252780	1900489	776186	580979	255094	148546	80925	66842	34019	27006	22575	23939	20385	20685	22087	23392	19783	18009	15507	13937	12070	10781	9239	8461	6996	5883	4491	3745	2851	2545	1938	1620	1322	1095	840	698	593	487	389	338	289	236	189	140	117	129	75	81	59	46	48	34	38	25	25	14	12	11	5	7	11	7	6	8	7	2	7	0	0	1	3	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4	17225978	17245944	18622478	1425643884	2567392	815891	357660	228280	181568	86934	50595	34948	21516	20266	15998	15746	14219	13889	15377	13995	12848	11279	9897	8804	7607	6226	6050	5021	4809	3959	3256	2724	2286	1884	1582	1291	994	945	688	659	587	446	354	257	229	172	178	132	78	108	61	41	40	42	41	30	17	18	7	16	11	9	16	9	12	9	4	21	3	4	6	5	16	5	2	2	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	6603451	6692499	6704030	7238416	541145246	1049643	401910	150330	108886	72649	59980	31433	27674	16115	12439	10321	10393	9299	9577	9078	9382	9384	7483	6691	6224	5216	5071	4595	4102	3679	3209	2828	2574	2148	1842	1500	1412	1059	1003	764	667	521	465	390	340	243	273	225	189	106	100	117	39	96	73	73	39	51	38	26	32	12	12	9	8	10	13	9	11	8	4	13	1	1	3	3	0	6	2	4	1	0	1	0	1	1	0	1	0	15	4	12	4	3	2	29	24	22	23	109
6	2015833	2045237	2095098	2049496	2199290	163137580	352119	125395	57856	46825	33948	25738	17747	14927	7976	7020	6138	6649	6319	6422	6849	6389	5825	4977	4058	3494	3051	2922	2832	2260	2209	2058	1758	1534	1271	1169	980	683	784	626	595	470	245	248	314	185	138	149	111	96	91	70	81	47	61	31	47	37	11	20	14	25	7	2	15	2	2	6	9	2	8	12	2	6	8	0	1	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	855316	861357	871943	875475	855181	937248	67287532	164534	53487	26557	23655	18158	14827	8916	6719	3920	3805	3295	3883	3684	4239	4283	3791	3024	2643	2324	1912	1696	1856	1631	1619	1530	1209	1246	1148	800	772	750	493	443	360	352	283	273	318	216	157	179	86	79	59	66	38	28	23	15	43	10	19	15	19	18	21	14	3	4	12	4	2	17	1	1	1	1	1	10	4	3	6	4	121	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
8	312334	314493	319383	322473	317459	310640	362229	24108858	87198	21284	11556	10781	8529	6584	4433	3257	2191	2011	1952	2272	2416	2808	2969	2567	2181	1915	1533	1342	1260	1022	1096	1163	1018	682	756	770	649	538	477	340	313	274	183	202	177	95	116	110	42	49	42	55	35	30	28	13	27	25	22	9	4	6	9	18	4	7	0	0	7	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
9	182669	181986	184838	187189	186063	182521	180392	240920	13568238	79970	18568	9771	8758	6305	5478	3538	2659	1796	1579	1603	2006	2226	2344	2505	2218	1930	1538	1342	1166	999	1005	771	746	731	683	694	504	429	397	365	237	208	198	134	122	133	67	82	65	39	45	50	29	11	43	21	22	8	2	7	9	3	13	5	10	9	12	5	0	12	4	4	1	7	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	120575	119315	120105	122544	123795	122468	120937	122835	232183	8472078	85182	25297	12951	10861	7953	6097	4420	3145	2083	1978	1778	1891	1840	2164	2199	1308	1285	1078	932	769	627	581	553	555	446	392	357	343	283	185	227	178	134	125	145	66	63	66	53	73	30	13	18	20	44	32	0	12	7	14	15	5	3	0	6	1	1	3	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
