#ref_rl	read_1	read_2	read_3	read_4	read_5	read_6	read_7	read_8	read_9	read_10	read_11	read_12	read_13	read_14	read_15	read_16	read_17	read_18	read_19	read_20	read_21	read_22	read_23	read_24	read_25	read_26	read_27	read_28	read_29	read_30	read_31	read_32	read_33	read_34	read_35	read_36	read_37	read_38	read_39	read_40	read_41	read_42	read_43	read_44	read_45	read_46	read_47	read_48	read_49	read_50	read_51	read_52	read_53	read_54	read_55	read_56	read_57	read_58	read_59	read_60	read_61	read_62	read_63	read_64	read_65	read_66	read_67	read_68	read_69	read_70	read_71	read_72	read_73	read_74	read_75	read_76	read_77	read_78	read_79	read_80	read_81	read_82	read_83	read_84	read_85	read_86	read_87	read_88	read_89	read_90	read_91	read_92	read_93	read_94	read_95	read_96	read_97	read_98	read_99	read_100+
1	29682056513	44279580	12624318	5602791	1634519	737396	297458	126506	58501	26834	21838	10458	8202	4505	2825	1911	1368	782	494	353	226	186	135	113	74	52	31	33	23	13	16	14	2	2	6	3	1	1	1	2	4	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	111798338	7455345047	14290050	5263906	2073946	1013183	345569	154142	92166	40284	27863	14315	6410	4683	2672	1934	1261	840	594	315	227	183	114	84	80	64	37	17	16	10	4	8	9	6	1	1	2	2	0	1	1	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	25321682	25621854	1893766161	4737775	1244565	805983	270010	127717	63744	32176	20055	8394	5452	4428	3731	1980	1500	1167	1010	455	208	226	135	85	61	49	20	7	10	14	8	4	2	3	2	1	2	0	2	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	5940224	5347761	5526659	452907262	1518700	400001	203093	95245	64026	35622	19656	6961	4278	2849	1847	1324	798	797	450	261	271	209	119	61	63	47	30	27	24	22	12	5	9	9	6	5	1	1	2	3	1	3	5	1	3	1	1	1	0	2	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3
5	1326970	1227837	1142528	1273513	104263821	392970	126531	70629	36476	28888	18405	9028	3723	1999	1366	1111	897	519	420	301	157	116	106	50	57	79	41	23	16	9	13	16	3	7	7	4	2	1	7	0	7	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
6	255479	235115	221788	218672	260596	19713501	92629	32882	22626	14700	12958	7005	8200	1833	915	692	785	613	330	284	154	151	99	108	52	67	31	28	11	14	13	6	10	8	3	6	1	2	5	4	3	1	3	2	2	1	1	0	0	1	1	0	3	0	0	0	0	0	1	2	2	0	0	1	0	0	0	2	1	0	0	0	2	1	0	7	0	1	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	4
7	38403	35108	33259	33113	33714	42836	2876275	26116	6881	8291	2678	2203	1650	1987	617	299	298	590	184	108	62	71	64	45	54	23	18	20	15	21	8	13	11	3	10	6	5	2	2	4	5	2	2	5	3	1	2	4	4	0	2	0	1	0	0	1	0	1	3	1	1	1	0	2	1	2	0	0	1	0	0	2	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
8	7506	6869	6580	6266	6603	6783	10350	542609	7657	2071	2046	736	620	441	529	322	142	76	235	91	57	49	76	38	42	10	6	8	22	3	6	3	5	2	5	2	0	2	1	3	2	2	0	1	1	0	0	0	2	2	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
9	3012	2513	2418	2486	2569	2511	2686	5198	195085	4040	1232	880	405	358	317	240	141	87	66	86	52	37	6	23	24	26	16	8	4	3	2	0	1	3	0	6	1	2	2	2	2	1	2	1	4	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	7
10	1750	1518	1455	1390	1540	1517	1503	1712	5918	105294	2753	1535	904	780	388	281	209	90	74	54	68	31	42	22	13	16	21	7	3	2	4	2	0	1	3	2	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
11	1069	924	826	875	923	933	909	1009	1231	6171	57685	2138	1279	681	364	321	252	149	62	43	27	35	22	17	24	12	1	5	4	2	3	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
