#ref_rl	read_1	read_2	read_3	read_4	read_5	read_6	read_7	read_8	read_9	read_10	read_11	read_12	read_13	read_14	read_15	read_16	read_17	read_18	read_19	read_20	read_21	read_22	read_23	read_24	read_25	read_26	read_27	read_28	read_29	read_30	read_31	read_32	read_33	read_34	read_35	read_36	read_37	read_38	read_39	read_40	read_41	read_42	read_43	read_44	read_45	read_46	read_47	read_48	read_49	read_50	read_51	read_52	read_53	read_54	read_55	read_56	read_57	read_58	read_59	read_60	read_61	read_62	read_63	read_64	read_65	read_66	read_67	read_68	read_69	read_70	read_71	read_72	read_73	read_74	read_75	read_76	read_77	read_78	read_79	read_80	read_81	read_82	read_83	read_84	read_85	read_86	read_87	read_88	read_89	read_90	read_91	read_92	read_93	read_94	read_95	read_96	read_97	read_98	read_99	read_100+
1	36429995920	57944133	17152064	6120164	2786563	1273072	865656	385727	184958	103061	67533	53967	40724	34854	34602	35962	34621	30770	25072	21261	17159	14817	12857	10972	8879	7198	5414	4144	3141	2415	1859	1507	1101	933	638	519	327	226	159	112	90	61	43	44	24	19	29	17	15	7	13	6	5	4	5	5	6	3	3	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4
2	142379394	9721764023	20387187	5564253	2123372	1032487	539908	261215	124168	77135	43117	30615	27161	21120	16641	14604	12565	10750	8569	6778	5422	4543	4000	3267	2722	2269	1877	1493	1101	847	627	500	383	250	181	165	158	99	77	70	45	52	27	46	19	20	11	6	11	4	6	9	9	6	0	3	3	2	4	1	0	1	1	3	1	1	0	2	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3	48085509	54210360	3761574933	6869665	2070253	878803	706477	263611	153217	79111	80687	32364	26707	21830	23888	13853	12506	9989	9977	6330	5436	4176	4349	2969	2472	1957	1961	1526	1278	904	802	499	462	372	348	177	146	136	115	71	78	50	49	38	39	29	19	25	19	19	8	14	13	6	5	6	5	2	8	8	1	7	0	3	2	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	2	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2
4	18390392	18127378	19800150	1423700129	2778925	881135	396182	234443	167735	77047	44018	33678	20972	18361	14369	11711	9306	7723	7266	5776	4529	3708	3143	2662	1837	1634	1142	978	788	695	515	456	385	271	202	162	102	91	116	60	55	63	49	39	33	31	17	12	17	10	10	11	8	9	3	6	4	7	5	2	4	0	3	6	6	3	1	1	1	0	2	1	1	3	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
5	7042962	7091059	6849513	7499150	538998132	1176445	561822	172146	109676	62279	50618	32461	51737	29128	15490	13393	10475	8289	7714	6778	6000	5017	4898	4303	3657	3136	2726	2361	1868	1642	1393	907	673	364	348	290	162	160	98	77	69	89	35	37	58	15	47	7	20	19	13	12	8	9	2	5	5	1	2	0	0	2	0	2	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	5	4	6	0	0	3	11	3	7	16
6	2121325	2138331	2136794	2062452	2219484	162639875	392523	168341	64822	43945	28817	23369	17171	20718	11882	7686	7315	6251	5099	4931	4134	3629	3165	2471	1988	1343	1108	802	727	751	789	383	269	434	227	197	178	90	87	60	25	56	22	52	45	29	8	17	17	9	1	1	1	1	3	2	1	4	1	1	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	882484	891409	879512	869672	834265	917678	67379524	193740	71243	32461	23339	16431	14651	9646	9537	5611	4072	4372	4071	3558	3395	2849	3043	2214	1742	1429	1042	777	712	474	459	337	373	274	309	226	161	101	45	67	41	80	29	15	14	25	10	11	10	5	7	2	7	1	8	2	3	2	1	0	5	2	1	0	0	0	1	0	1	1	1	0	1	0	0	2	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	321206	323208	319551	315829	304749	296658	330014	24189494	106066	28800	14193	10290	7417	7172	4770	4458	2733	2128	2409	2215	1876	1823	1657	1561	1115	800	717	601	431	362	359	225	222	117	107	109	159	133	44	36	45	21	28	14	11	5	7	7	4	12	2	4	8	2	3	2	30	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0
9	185607	184405	181738	180742	175098	169966	160791	196761	13639390	103052	24144	13062	8998	7149	6544	4613	3785	2506	1869	1849	1830	1738	1430	1254	1093	939	708	367	371	360	259	229	187	111	173	129	75	56	48	19	30	39	27	26	5	29	9	10	9	9	5	2	5	1	2	3	0	0	7	1	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10	122590	121373	119143	117734	113641	110342	103240	94027	177604	8554232	103214	28036	15809	11160	9581	8465	5939	4767	2913	2134	1984	2063	1635	1482	1249	949	767	491	369	387	313	275	215	179	154	131	95	129	84	42	61	46	48	21	15	13	24	15	7	16	8	11	1	4	3	4	0	4	2	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
